Epoch,Train Loss,Train Accuracy,Valid Loss,Valid Accuracy
,,,,
1,1.151,0.741,,
2,0.914,0.839,,
3,0.835,0.866,,
4,0.794,0.885,,
5,0.784,0.886,,
6,0.725,0.914,,
7,0.678,0.93,,
8,0.664,0.938,,
9,0.652,0.938,,
10,0.644,0.94,,
11,0.646,0.939,,
12,0.641,0.943,,
13,0.636,0.947,,
14,0.631,0.949,,
15,0.635,0.946,,
16,0.627,0.948,,
17,0.639,0.94,,
18,0.627,0.945,,
19,0.644,0.939,,
20,0.624,0.947,,
