Epoch,Train Loss,Train Accuracy
,,
1,1.679,0.503
2,1.337,0.636
3,1.264,0.664
4,1.218,0.685
5,1.168,0.705
6,1.148,0.723
7,1.131,0.726
8,1.128,0.724
9,1.136,0.725
10,1.143,0.721
11,1.125,0.729
12,1.127,0.73
13,1.133,0.73
14,1.121,0.727
15,1.121,0.731
16,1.124,0.731
17,1.123,0.731
18,1.134,0.726
19,1.129,0.732
20,1.145,0.723
